"","date_full","day","hour","sonde","value","variety","culture","rep"
"225","10.11.2022 03:15","10.11.2022","03:15:00","T_1",9.507826,"OUT","OUT","OUT"
"226","10.11.2022 03:30","10.11.2022","03:30:00","T_1",9.457856,"OUT","OUT","OUT"
"227","10.11.2022 03:45","10.11.2022","03:45:00","T_1",9.387898,"OUT","OUT","OUT"
"228","10.11.2022 04:00","10.11.2022","04:00:00","T_1",8.998132,"OUT","OUT","OUT"
"229","10.11.2022 04:15","10.11.2022","04:15:00","T_1",8.778264,"OUT","OUT","OUT"
"230","10.11.2022 04:30","10.11.2022","04:30:00","T_1",9.028114,"OUT","OUT","OUT"
"231","10.11.2022 04:45","10.11.2022","04:45:00","T_1",9.26797,"OUT","OUT","OUT"
"232","10.11.2022 05:00","10.11.2022","05:00:00","T_1",9.387898,"OUT","OUT","OUT"
"233","10.11.2022 05:15","10.11.2022","05:15:00","T_1",9.397892,"OUT","OUT","OUT"
"234","10.11.2022 05:30","10.11.2022","05:30:00","T_1",9.407886,"OUT","OUT","OUT"
"235","10.11.2022 05:45","10.11.2022","05:45:00","T_1",9.26797,"OUT","OUT","OUT"
"236","10.11.2022 06:00","10.11.2022","06:00:00","T_1",8.538408,"OUT","OUT","OUT"
"237","10.11.2022 06:15","10.11.2022","06:15:00","T_1",7.109266,"OUT","OUT","OUT"
"238","10.11.2022 06:30","10.11.2022","06:30:00","T_1",6.5955744,"OUT","OUT","OUT"
"239","10.11.2022 06:45","10.11.2022","06:45:00","T_1",7.129254,"OUT","OUT","OUT"
"240","10.11.2022 07:00","10.11.2022","07:00:00","T_1",7.189218,"OUT","OUT","OUT"
"241","10.11.2022 07:15","10.11.2022","07:15:00","T_1",6.534611,"OUT","OUT","OUT"
"242","10.11.2022 07:30","10.11.2022","07:30:00","T_1",6.299752,"OUT","OUT","OUT"
"243","10.11.2022 07:45","10.11.2022","07:45:00","T_1",7.199212,"OUT","OUT","OUT"
"244","10.11.2022 08:00","10.11.2022","08:00:00","T_1",7.16923,"OUT","OUT","OUT"
"245","10.11.2022 08:15","10.11.2022","08:15:00","T_1",7.179224,"OUT","OUT","OUT"
"246","10.11.2022 08:30","10.11.2022","08:30:00","T_1",6.999332,"OUT","OUT","OUT"
"247","10.11.2022 08:45","10.11.2022","08:45:00","T_1",7.079284,"OUT","OUT","OUT"
"248","10.11.2022 09:00","10.11.2022","09:00:00","T_1",8.338528,"OUT","OUT","OUT"
"249","10.11.2022 09:15","10.11.2022","09:15:00","T_1",8.588378,"OUT","OUT","OUT"
"250","10.11.2022 09:30","10.11.2022","09:30:00","T_1",8.298552,"OUT","OUT","OUT"
"251","10.11.2022 09:45","10.11.2022","09:45:00","T_1",8.398492,"OUT","OUT","OUT"
"252","10.11.2022 10:00","10.11.2022","10:00:00","T_1",9.337928,"OUT","OUT","OUT"
"253","10.11.2022 10:15","10.11.2022","10:15:00","T_1",10.577184,"OUT","OUT","OUT"
"254","10.11.2022 10:30","10.11.2022","10:30:00","T_1",11.106866,"OUT","OUT","OUT"
"255","10.11.2022 10:45","10.11.2022","10:45:00","T_1",11.606566,"OUT","OUT","OUT"
"256","10.11.2022 11:00","10.11.2022","11:00:00","T_1",11.936368,"OUT","OUT","OUT"
"257","10.11.2022 11:15","10.11.2022","11:15:00","T_1",12.156236,"OUT","OUT","OUT"
"258","10.11.2022 11:30","10.11.2022","11:30:00","T_1",12.246182,"OUT","OUT","OUT"
"259","10.11.2022 11:45","10.11.2022","11:45:00","T_1",12.456056,"OUT","OUT","OUT"
"260","10.11.2022 12:00","10.11.2022","12:00:00","T_1",13.76527,"OUT","OUT","OUT"
"261","10.11.2022 12:15","10.11.2022","12:15:00","T_1",13.255576,"OUT","OUT","OUT"
"262","10.11.2022 12:30","10.11.2022","12:30:00","T_1",12.705906,"OUT","OUT","OUT"
"263","10.11.2022 12:45","10.11.2022","12:45:00","T_1",12.985738,"OUT","OUT","OUT"
"264","10.11.2022 13:00","10.11.2022","13:00:00","T_1",13.125654,"OUT","OUT","OUT"
"265","10.11.2022 13:15","10.11.2022","13:15:00","T_1",13.735288,"OUT","OUT","OUT"
"266","10.11.2022 13:30","10.11.2022","13:30:00","T_1",13.735288,"OUT","OUT","OUT"
"267","10.11.2022 13:45","10.11.2022","13:45:00","T_1",13.66533,"OUT","OUT","OUT"
"268","10.11.2022 14:00","10.11.2022","14:00:00","T_1",13.51542,"OUT","OUT","OUT"
"269","10.11.2022 14:15","10.11.2022","14:15:00","T_1",13.485438,"OUT","OUT","OUT"
"270","10.11.2022 14:30","10.11.2022","14:30:00","T_1",13.385498,"OUT","OUT","OUT"
"271","10.11.2022 14:45","10.11.2022","14:45:00","T_1",13.36551,"OUT","OUT","OUT"
"272","10.11.2022 15:00","10.11.2022","15:00:00","T_1",13.195612,"OUT","OUT","OUT"
"273","10.11.2022 15:15","10.11.2022","15:15:00","T_1",13.105666,"OUT","OUT","OUT"
"274","10.11.2022 15:30","10.11.2022","15:30:00","T_1",12.805846,"OUT","OUT","OUT"
"275","10.11.2022 15:45","10.11.2022","15:45:00","T_1",12.595972,"OUT","OUT","OUT"
"276","10.11.2022 16:00","10.11.2022","16:00:00","T_1",12.396092,"OUT","OUT","OUT"
"277","10.11.2022 16:15","10.11.2022","16:15:00","T_1",11.926374,"OUT","OUT","OUT"
