date;experiment_type;Sampling_campain;variety;culture;bloc;sample_type;Sample ID;Glucoraphanin;Progoitrin isomer;Glucoalyssin;Gluconapoleiferin;Gluconapin;Butyl-GS;Glucobrassicanapin;Glucobrassicin;Gluconasturtiin;Methoxyglucobrassicin;Neoglucobrassicin;Unknown GLS (C16H20N2O11S2);total 
16.05.2022;glasshouse;GH_AF;Ma;Mo;5;feuille;230110_IH_GLS_sample_2-36;7.681415929;56.17699115;74.69026549;4.884955752;35.71681416;2.123893805;59.75221239;272.9557522;32.81415929;10.30088496;9.451327434;20.84955752;587.3982301
16.05.2022;glasshouse;GH_AF;Fe;Mo;5;feuille;230110_IH_GLS_sample_2-37;1.403508772;38.71345029;9.356725146;4.288499025;16.02339181;1.598440546;29.04483431;55.59454191;21.01364522;8.070175439;6.237816764;21.09161793;212.4366472
16.05.2022;glasshouse;GH_AF;Fe;Mo;5;feuille;230110_IH_GLS_sample_2-38;3.217054264;53.72093023;19.37984496;5.852713178;26.24031008;4.186046512;58.25581395;71.43410853;29.2248062;12.51937984;16.04651163;18.64341085;318.7209302
16.05.2022;glasshouse;GH_AF;An;Mo;3;feuille;230110_IH_GLS_sample_2-39;5.444646098;20.10889292;35.13611615;2.504537205;19.96370236;1.270417423;19.74591652;182.6134301;24.39201452;17.09618875;16.73321234;19.60072595;364.6098004
16.05.2022;glasshouse;GH_AF;An;Mo;3;feuille;230110_IH_GLS_sample_2-40;3.445595855;41.42487047;40.80310881;4.663212435;32.27979275;2.331606218;50.02590674;93.05699482;25.02590674;8.341968912;3.316062176;33.86010363;338.5751295
16.05.2022;glasshouse;GH_AF;Fe;Mo;4;feuille;230110_IH_GLS_sample_2-41;3.28990228;49.08794788;80.42345277;4.332247557;73.2247557;0.553745928;130.4560261;54.75570033;20;8.078175896;6.482084691;27.752443;458.4364821
16.05.2022;glasshouse;GH_AF;Fe;Mo;4;feuille;230110_IH_GLS_sample_2-42;1.416893733;47.73841962;11.79836512;5.994550409;25.34059946;1.825613079;72.7520436;54.41416894;22.88828338;7.493188011;1.553133515;24.93188011;278.147139
16.05.2022;glasshouse;GH_AF;Ma;Mo;4;feuille;230110_IH_GLS_sample_2-43;2.341325811;37.65867419;45.16220028;3.469675599;38.30747532;1.325811001;50.86036671;70.6629055;34.97884344;5.021156559;5.81100141;16.72778561;312.3272214
16.05.2022;glasshouse;GH_AF;Ma;Mo;4;feuille;230110_IH_GLS_sample_2-44;1.787072243;66.73003802;44.18250951;8.783269962;52.96577947;4.144486692;154.7908745;95.58935361;40.60836502;7.072243346;6.273764259;31.33079848;514.2585551
16.05.2022;glasshouse;GH_AF;An;Mo;4;feuille;230110_IH_GLS_sample_2-45;3.284671533;34.67153285;21.53284672;3.138686131;29.7080292;2.445255474;40.65693431;85.40145985;18.17518248;12.70072993;1.386861314;38.02919708;291.1313869
