"","date_full","date","hour","sonde","value","variety","culture","bac","modality"
"192",2022-03-31 06:45:00,2022-03-31,1899-12-31 06:45:00,"T_1",21.420674,"Ext",NA,NA,"Ext"
"193",2022-03-31 07:00:00,2022-03-31,1899-12-31 07:00:00,"T_1",21.440662,"Ext",NA,NA,"Ext"
"194",2022-03-31 07:15:00,2022-03-31,1899-12-31 07:15:00,"T_1",21.51062,"Ext",NA,NA,"Ext"
"195",2022-03-31 07:30:00,2022-03-31,1899-12-31 07:30:00,"T_1",21.570584,"Ext",NA,NA,"Ext"
"196",2022-03-31 07:45:00,2022-03-31,1899-12-31 07:45:00,"T_1",21.61056,"Ext",NA,NA,"Ext"
"197",2022-03-31 08:00:00,2022-03-31,1899-12-31 08:00:00,"T_1",21.670524,"Ext",NA,NA,"Ext"
"198",2022-03-31 08:15:00,2022-03-31,1899-12-31 08:15:00,"T_1",21.790452,"Ext",NA,NA,"Ext"
"199",2022-03-31 08:30:00,2022-03-31,1899-12-31 08:30:00,"T_1",22.140242,"Ext",NA,NA,"Ext"
"200",2022-03-31 08:45:00,2022-03-31,1899-12-31 08:45:00,"T_1",22.400086,"Ext",NA,NA,"Ext"
"201",2022-03-31 09:00:00,2022-03-31,1899-12-31 09:00:00,"T_1",22.699906,"Ext",NA,NA,"Ext"
"202",2022-03-31 09:15:00,2022-03-31,1899-12-31 09:15:00,"T_1",22.889792,"Ext",NA,NA,"Ext"
"203",2022-03-31 09:30:00,2022-03-31,1899-12-31 09:30:00,"T_1",23.129648,"Ext",NA,NA,"Ext"
"204",2022-03-31 09:45:00,2022-03-31,1899-12-31 09:45:00,"T_1",23.189612,"Ext",NA,NA,"Ext"
"205",2022-03-31 10:00:00,2022-03-31,1899-12-31 10:00:00,"T_1",23.119654,"Ext",NA,NA,"Ext"
"206",2022-03-31 10:15:00,2022-03-31,1899-12-31 10:15:00,"T_1",22.999726,"Ext",NA,NA,"Ext"
"207",2022-03-31 10:30:00,2022-03-31,1899-12-31 10:30:00,"T_1",23.05969,"Ext",NA,NA,"Ext"
"208",2022-03-31 10:45:00,2022-03-31,1899-12-31 10:45:00,"T_1",23.099666,"Ext",NA,NA,"Ext"
"209",2022-03-31 11:00:00,2022-03-31,1899-12-31 11:00:00,"T_1",23.239582,"Ext",NA,NA,"Ext"
"210",2022-03-31 11:15:00,2022-03-31,1899-12-31 11:15:00,"T_1",23.199606,"Ext",NA,NA,"Ext"
"211",2022-03-31 11:30:00,2022-03-31,1899-12-31 11:30:00,"T_1",23.119654,"Ext",NA,NA,"Ext"
"212",2022-03-31 11:45:00,2022-03-31,1899-12-31 11:45:00,"T_1",23.149636,"Ext",NA,NA,"Ext"
"213",2022-03-31 12:00:00,2022-03-31,1899-12-31 12:00:00,"T_1",23.30954,"Ext",NA,NA,"Ext"
"214",2022-03-31 12:15:00,2022-03-31,1899-12-31 12:15:00,"T_1",22.040302,"Ext",NA,NA,"Ext"
"215",2022-03-31 12:30:00,2022-03-31,1899-12-31 12:30:00,"T_1",21.420674,"Ext",NA,NA,"Ext"
"216",2022-03-31 12:45:00,2022-03-31,1899-12-31 12:45:00,"T_1",21.46065,"Ext",NA,NA,"Ext"
"217",2022-03-31 13:00:00,2022-03-31,1899-12-31 13:00:00,"T_1",21.56059,"Ext",NA,NA,"Ext"
"218",2022-03-31 13:15:00,2022-03-31,1899-12-31 13:15:00,"T_1",21.770464,"Ext",NA,NA,"Ext"
