date;parcelle;bloc;variete;culture;plante;nb_feuille;H_fev;d_collet;h_tige;weight_fresh;weight_dry;h-tige 2;H_tige_verte;nb_piqures;Piqures;Pollen_beetle;splitting;nb_ramification;bushy;Tortuotype;tortuo_A;tortuo_B;tortuo_C
02.11.2022;52;3;1;asso;13;2;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;1;asso;14;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;1;asso;15;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;2;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;3;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;4;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;5;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;6;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;7;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;8;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;9;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;10;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;11;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;12;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;13;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;14;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;2;asso;15;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;1;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;2;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;3;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;4;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;5;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;6;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;7;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;8;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;9;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;10;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;11;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;12;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;13;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;14;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;3;4;asso;15;3;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;1;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;2;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;3;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;4;4;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;5;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;6;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;7;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;8;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;9;5;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;10;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;11;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;12;6;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;13;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;14;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;3;mono;15;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;1;9;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;2;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;3;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;4;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;5;8;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;6;7;;na;na;;;;#VALEUR!;;0;;;;;;;;
02.11.2022;52;2;2;mono;7;10;;na;na;;;;#VALEUR!;;0;;;;;;;;
